,date,instrument,avg_volume
408,2023-09-08,43600_CE,88.0
409,2023-09-11,43600_CE,33.0
410,2023-09-12,43600_CE,66.0
411,2023-09-13,43600_CE,166.0
412,2023-09-07,43600_PE,29112.0
413,2023-09-08,43600_PE,21984.0
414,2023-09-11,43600_PE,11327.0
415,2023-09-12,43600_PE,11627.0
416,2023-09-13,43600_PE,47485.0
417,2023-09-07,43700_CE,215.0
418,2023-09-08,43700_CE,57.0
419,2023-09-11,43700_CE,52.0
420,2023-09-12,43700_CE,47.0
421,2023-09-13,43700_CE,47.0
422,2023-09-07,43700_PE,34527.0
423,2023-09-08,43700_PE,23017.0
424,2023-09-11,43700_PE,15380.0
425,2023-09-12,43700_PE,13901.0
426,2023-09-13,43700_PE,52171.0
427,2023-09-07,43800_CE,779.0
428,2023-09-08,43800_CE,115.0
429,2023-09-11,43800_CE,117.0
430,2023-09-12,43800_CE,96.0
431,2023-09-13,43800_CE,104.0
432,2023-09-07,43800_PE,43150.0
433,2023-09-08,43800_PE,29601.0
434,2023-09-11,43800_PE,19264.0
435,2023-09-12,43800_PE,17563.0
436,2023-09-13,43800_PE,54211.0
437,2023-09-07,43900_CE,1110.0
438,2023-09-08,43900_CE,145.0
439,2023-09-11,43900_CE,96.0
440,2023-09-12,43900_CE,56.0
441,2023-09-13,43900_CE,129.0
442,2023-09-07,43900_PE,42726.0
443,2023-09-11,43900_PE,15676.0
444,2023-09-12,43900_PE,16111.0
445,2023-09-13,43900_PE,59292.0
446,2023-09-07,44000_CE,13997.0
447,2023-09-08,44000_CE,2206.0
448,2023-09-11,44000_CE,590.0
449,2023-09-12,44000_CE,425.0
450,2023-09-13,44000_CE,482.0
451,2023-09-07,44000_PE,103833.0
452,2023-09-08,44000_PE,79850.0
453,2023-09-11,44000_PE,48453.0
454,2023-09-12,44000_PE,70585.0
455,2023-09-13,44000_PE,203815.0
456,2023-09-07,44100_CE,10452.0
457,2023-09-08,44100_CE,662.0
458,2023-09-11,44100_CE,226.0
459,2023-09-12,44100_CE,314.0
460,2023-09-13,44100_CE,221.0
461,2023-09-07,44100_PE,74730.0
462,2023-09-08,44100_PE,48182.0
463,2023-09-11,44100_PE,22272.0
464,2023-09-12,44100_PE,22645.0
465,2023-09-13,44100_PE,55937.0
466,2023-09-07,44200_CE,30841.0
467,2023-09-08,44200_CE,1267.0
468,2023-09-11,44200_CE,254.0
469,2023-09-12,44200_CE,196.0
470,2023-09-13,44200_CE,363.0
471,2023-09-07,44200_PE,95708.0
472,2023-09-08,44200_PE,62908.0
473,2023-09-11,44200_PE,30140.0
