,open,high,low,close,poc_price,va_l_p,va_l_poc_mid,va_l_low_mid,va_h_poc_mid,va_h_high_mid,va_h_p,balance_target,open_tpo,high_tpo,low_tpo,close_tpo,poc_price_tpo,va_l_p_tpo,va_l_poc_mid_tpo,va_l_low_mid_tpo,va_h_poc_mid_tpo,va_h_high_mid_tpo,va_h_p_tpo,balance_target_tpo,open_type,close_type,prev_week_close_to_open,weekly_close_to_close,weekly_open_to_close,weekly_close_to_high,weekly_close_to_low,start_date
41,0,43,0,18,0,0,0,0,0,3,0,0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,ABOVE_VA,GAP_UP,-0.0022636315894315473,0.04350699914887457,0.045874473645999725,0.04698091909478874,-0.005758678763513769,2022-03-11 09:16:00
42,10,0,37,20,24,13,21,6,32,2,26,0,3.0,0.0,6.0,2.0,5.0,2.0,3.0,2.0,4.0,0.0,4.0,0.0,GAP_DOWN,INSIDE_VA,-0.010255167714090963,0.0034860301355341683,0.013883576252566643,0.01505565230559558,-0.050718558340274056,2022-03-04 09:16:00
43,0,0,0,0,0,0,0,67,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,BELOW_VA,BELOW_VA,0.018368762621202128,0.01794330286260415,-0.0004177855549131193,0.03688242820366572,0.008543108630975293,2022-02-25 09:16:00
44,0,0,0,82,6,17,43,66,0,0,0,0,0.0,0.0,0.0,9.0,2.0,5.0,8.0,5.0,0.0,0.0,0.0,0.0,INSIDE_VA,GAP_DOWN,-0.0025520611800246007,-0.06148094779269864,-0.05907966152337685,0.0058246022169945455,-0.06232006087910125,2022-02-18 09:16:00
45,0,0,31,0,0,10,112,3,0,0,0,0,0.0,0.0,8.0,0.0,0.0,4.0,14.0,2.0,0.0,0.0,0.0,0.0,INSIDE_VA,INSIDE_VA,-0.007730163558775205,-0.017444753069747687,-0.009790269898573012,-0.005478493996969425,-0.04419754420180866,2022-02-11 09:16:00
46,60,0,7,72,3,62,29,93,73,0,0,0,7.0,0.0,3.0,10.0,5.0,7.0,5.0,9.0,10.0,0.0,0.0,0.0,INSIDE_VA,INSIDE_VA,0.003992522937743548,0.0038070233016080923,-0.0001847619697331604,0.006803555885332768,-0.02720280817910692,2022-02-04 09:16:00
47,33,77,0,22,18,0,0,0,19,61,39,0,8.0,7.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,10.0,6.0,0.0,INSIDE_VA,ABOVE_VA,0.003440373659566287,0.021630620491798647,0.018127880150857534,0.037628358008781726,-0.004210084376621848,2022-01-28 09:16:00
48,0,0,39,0,0,0,0,0,0,0,0,0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GAP_DOWN,GAP_DOWN,-0.009517543489690916,-0.035632445685333525,-0.02636584022664179,-0.004237204738246625,-0.053205458037052455,2022-01-21 09:16:00
49,32,78,24,119,45,21,9,35,98,75,78,0,4.0,13.0,2.0,13.0,9.0,7.0,4.0,4.0,13.0,13.0,13.0,0.0,INSIDE_VA,BELOW_VA,-0.0040282497788707294,-0.02604807062992398,-0.022108880945834408,0.005060642822130035,-0.03341448253010226,2022-01-14 09:16:00
50,0,42,0,18,2,0,0,0,29,39,54,49,0.0,8.0,0.0,3.0,3.0,0.0,0.0,0.0,6.0,8.0,8.0,10.0,INSIDE_VA,GAP_UP,0.0029076975092978685,0.028882565085089462,0.02589955949116729,0.029654570043953665,-0.0023357376310154665,2022-01-07 09:16:00
51,0,2,0,0,0,0,0,0,1,2,1,18,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,INSIDE_VA,GAP_UP,0.0009025506487625456,0.03001053459438907,0.029081736205746722,0.041543448672147765,0.0005542995945777562,2021-12-31 09:16:00
52,278,278,0,42,43,0,9,0,63,47,1,0,21.0,21.0,0.0,8.0,8.0,0.0,6.0,0.0,6.0,18.0,3.0,0.0,ABOVE_VA,ABOVE_VA,0.005773837974787588,0.010433375070743489,0.0046327881279337735,0.013776277707238105,-0.012776339287023264,2021-12-24 09:16:00
53,0,0,1,1,1,6,2,3,0,0,0,48,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,10.0,INSIDE_VA,GAP_DOWN,-0.0005553755727309984,-0.013569097977507272,-0.01302095392451963,0.000726037858101769,-0.05064331003841338,2021-12-17 09:16:00
54,73,13,0,19,37,0,71,0,38,19,26,0,8.0,5.0,0.0,6.0,9.0,3.0,15.0,0.0,8.0,5.0,5.0,0.0,INSIDE_VA,INSIDE_VA,-0.001519769863420839,-0.01240097928028061,-0.010897771521596766,0.007818816007861606,-0.018151537052960576,2021-12-10 09:16:00
55,18,103,0,82,48,15,63,5,68,21,48,36,6.0,13.0,0.0,13.0,7.0,3.0,6.0,2.0,10.0,3.0,6.0,7.0,GAP_UP,GAP_UP,0.001344711662787823,0.0058127172944861805,0.004462005520835088,0.00814584949573316,-0.029296325029451453,2021-12-03 09:16:00
56,0,0,20,0,0,12,0,77,0,0,0,0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,BELOW_VA,INSIDE_VA,-0.011868125605516644,-0.008292015729184476,0.003619061351020081,-0.007217758021314302,-0.043574400182367246,2021-11-26 09:16:00
57,0,0,4,1,0,0,0,1,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BELOW_VA,GAP_DOWN,0.0028740085374958646,-0.011172003775658301,-0.01400575964037365,0.0033811865147010955,-0.029819247404235028,2021-11-22 09:16:00
58,109,115,33,13,36,7,122,13,44,78,59,0,12.0,13.0,4.0,4.0,10.0,4.0,12.0,3.0,7.0,13.0,13.0,0.0,INSIDE_VA,GAP_DOWN,0.00514099291890413,-0.007849868469974597,-0.012924417052331716,0.018143036456600647,-0.01102280319697646,2021-11-12 09:16:00
59,0,46,0,32,36,0,11,0,38,54,88,0,0.0,13.0,0.0,10.0,10.0,0.0,7.0,0.0,7.0,12.0,9.0,0.0,GAP_UP,INSIDE_VA,0.0067693887459610025,-0.0018555826529530473,-0.008566978193146335,0.010809815334646533,-0.006735904547712224,2021-11-08 09:16:00
60,0,0,84,80,0,0,0,122,0,0,0,0,0.0,0.0,13.0,14.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,BELOW_VA,BELOW_VA,-0.0016710612498531674,0.003134989279456324,0.004814095177213318,0.008360904444407069,-0.01398429146443203,2021-10-29 09:16:00
61,0,0,33,69,0,67,0,126,0,0,0,0,0.0,0.0,10.0,12.0,0.0,12.0,0.0,17.0,0.0,0.0,0.0,0.0,BELOW_VA,GAP_DOWN,0.0006092340117238582,-0.01957781729565944,-0.020174760157317007,0.006720784210410891,-0.02306033063294466,2021-10-22 09:16:00
62,0,21,0,36,0,0,0,0,0,33,40,0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,GAP_UP,ABOVE_VA,0.008781807127413943,-0.006513423541568475,-0.015162080204971895,0.014471851050081641,-0.01587050583318106,2021-10-18 09:16:00
63,0,71,0,0,0,0,0,0,0,69,65,52,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,11.0,13.0,GAP_UP,GAP_UP,0.005040132830256283,0.030448695437190754,0.025281142291683656,0.03110610406722425,0.002357118976914707,2021-10-08 09:16:00
64,0,0,1,1,25,88,35,19,0,0,0,0,0.0,0.0,2.0,3.0,5.0,11.0,12.0,5.0,5.0,0.0,2.0,0.0,GAP_DOWN,INSIDE_VA,-0.004358653275520874,0.01070496602522053,0.015129563823658598,0.015671275197133072,-0.008845084660096036,2021-10-01 09:16:00
65,105,98,0,37,1,0,0,0,30,27,126,0,14.0,15.0,0.0,15.0,3.0,0.0,0.0,0.0,11.0,11.0,12.0,0.0,GAP_UP,INSIDE_VA,0.003991293762586778,-0.012209488228067444,-0.016136376969903443,0.006807357668164649,-0.014035442015449151,2021-09-24 09:16:00
66,0,51,0,49,35,2,13,0,65,106,83,0,0.0,11.0,0.0,11.0,6.0,2.0,5.0,0.0,7.0,15.0,15.0,0.0,GAP_UP,GAP_UP,0.0046574821798832655,0.011274964473225069,0.0065868043693690925,0.012273401578778875,-0.017101071901653997,2021-09-17 09:16:00
67,15,17,0,94,46,28,52,0,47,108,26,29,3.0,7.0,0.0,10.0,9.0,3.0,7.0,2.0,10.0,8.0,8.0,5.0,INSIDE_VA,GAP_UP,0.00031397445572967086,0.015523012311255302,0.015204264104978549,0.01650526267275798,-0.005124408777458234,2021-09-13 09:16:00
68,0,29,0,24,0,0,0,0,0,24,13,0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,GAP_UP,GAP_UP,0.0016595247144428615,0.0072096484534796,0.00554092843136389,0.011758835083280905,-0.0012562486037651643,2021-09-03 09:16:00
69,0,52,0,31,23,0,4,0,12,78,77,34,0.0,5.0,0.0,3.0,3.0,0.0,1.0,0.0,7.0,5.0,5.0,6.0,INSIDE_VA,GAP_UP,0.0006373275532933764,0.036189382483713395,0.03552941105780061,0.03688984153992769,-0.003989309732172264,2021-08-27 09:16:00
70,11,11,11,43,50,103,48,91,30,78,9,3,8.0,11.0,8.0,8.0,8.0,13.0,11.0,14.0,5.0,16.0,8.0,8.0,GAP_DOWN,ABOVE_VA,-0.010234474592040854,0.004836302780949486,0.015226613764687924,0.00969979277303512,-0.010624157951655278,2021-08-20 09:16:00
