day,symbol,strategy,signal_id,trigger,side,entry_time,exit_time,entry_price,exit_price,realized_pnl,un_realized_pnl,week_day,seq,target,stop_loss,duration,quantity,exit_type,neck_point,trigger_time,closed,pattern_height,first_hour_trend,whole_day_trend,five_min_trend,fifteen_min_trend,open_type,tpo,candles_in_range,dist_frm_level,resistance_ind,support_ind,y_high,y_low,y_va_h_p,y_va_l_p,y_poc_price,t_2_high,t_2_low,t_2_va_h_p,t_2_va_l_p,t_2_poc_price,w_high,w_low,w_Pivot,w_R1,w_S1,w_R2,w_S2,w_R3,w_S3,w_R4,w_S4,cd_support_pressure,cd_resistance_pressure,cd_new_business_pressure,cd_type,cd_retest_fract,ad_support_pressure,ad_resistance_pressure,ad_new_business_pressure,ad_retest_fract,ad_type,gap,cd_close_rat,high,low,poc_price,va_h_p,va_l_p,entry_time_read
2022-10-21,NIFTY,CDLENGULFING_SELL_5_10,SIG_1,1,-1,1666325040,1666325640,17639.05,17639.4,-0.35,0.0,Friday,1,17603.7719,17656.689049999997,10,1,0,0,1666325040,True,0,0.16,0,0.25,-0.12,GAP_UP,1,0,39.04999999999927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.12,0.87,1,0.68,0.32,0.29,0.39,0.83,-1,-0.0028,0.17,1,1,1,1,1,2022-10-21 09:34:00
2022-10-21,NIFTY,CDL3OUTSIDE_SELL_5_10,SIG_1,1,-1,1666325340,1666325940,17631.5,17621.9,9.6,0.0,Friday,1,17596.237,17649.1315,10,1,0,0,1666325340,True,0,0.01,0,0.1,-0.25,GAP_UP,1,0,31.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.12,0.87,1,0.68,0.32,0.29,0.39,0.83,-1,-0.0028,0.17,1,1,1,1,1,2022-10-21 09:39:00
2022-10-21,NIFTY,CDLXSIDEGAP3METHODS_SELL_5_10,SIG_1,1,-1,1666325640,1666326240,17639.4,17627.75,11.65,0.0,Friday,1,17604.1212,17657.039399999998,10,1,0,0,1666325640,True,0,0.09,0,0.12,0.0,GAP_UP,1,0,39.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.12,0.87,1,0.68,0.32,0.29,0.39,0.83,-1,-0.0028,0.17,1,1,1,1,1,2022-10-21 09:44:00
2022-10-20,NIFTY,CDLENGULFING_SELL_5_10,SIG_1,1,-1,1666238340,1666238940,17445.9,17444.05,1.85,-0.0,Thursday,1,17411.0082,17463.3459,10,1,0,0,1666238340,True,0,0.0,0,0.0,0.0,GAP_DOWN,1,0,45.900000000001455,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.29,0.39,-1,0.41,0.05,0.4,0.55,0.59,1,0.0023,0.21,1,0,1,1,1,2022-10-20 09:29:00
2022-10-20,NIFTY,CDL3OUTSIDE_SELL_5_10,SIG_1,1,-1,1666238640,1666239240,17435.25,17436.55,-1.3,-0.0,Thursday,1,17400.3795,17452.68525,10,1,0,0,1666238640,True,0,-0.16,0,-0.12,-0.25,GAP_DOWN,1,0,35.25,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.29,0.39,-1,0.41,0.05,0.4,0.55,0.59,1,0.0023,0.21,1,0,1,1,1,2022-10-20 09:34:00
2022-10-20,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1666239240,1666239840,17436.55,17473.45,36.9,-0.0,Thursday,1,17471.4231,17419.11345,10,1,1,0,1666239240,True,0,-0.12,0,-0.12,-0.12,GAP_DOWN,1,0,36.54999999999927,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0.29,0.39,-1,0.41,0.05,0.4,0.55,0.59,1,0.0023,0.21,1,0,1,1,1,2022-10-20 09:44:00
2022-10-19,NIFTY,CDLHIKKAKE_BUY_5_10,SIG_1,1,1,1666152840,1666153440,17572.3,17572.7,0.4,0.0,Wednesday,1,17607.4446,17554.7277,10,1,0,0,1666152840,True,0,0.16,0,0.12,0.25,GAP_UP,1,0,-27.700000000000728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.05,0.4,0.55,1,0.0,0.2,0.03,0.77,0.0,1,0.0064,1.24,0,0,0,0,0,2022-10-19 09:44:00
2022-10-18,NIFTY,CDLENGULFING_SELL_5_10,SIG_1,1,-1,1666066140,1666066320,17469.4,17492.3,-22.9,-0.0,Tuesday,1,17434.4612,17486.8694,10,1,-1,0,1666066140,True,0,0.08,0,0.1,0.0,GAP_UP,1,0,-30.599999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.03,0.77,1,0.69,0.19,0.15,0.66,0.89,-1,-0.0014,0.09,1,1,1,1,1,2022-10-18 09:39:00
2022-10-18,NIFTY,CDLENGULFING_BUY_5_10,SIG_1,1,1,1666066440,1666067040,17496.15,17503.15,7.0,0.0,Tuesday,1,17531.142300000003,17478.653850000002,10,1,0,0,1666066440,True,0,0.25,0,0.17,0.5,GAP_UP,1,0,-3.849999999998545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.03,0.77,1,0.69,0.19,0.15,0.66,0.89,-1,-0.0014,0.09,1,1,1,1,1,2022-10-18 09:44:00
2022-10-17,NIFTY,CDLENGULFING_SELL_5_10,SIG_1,1,-1,1665979140,1665979740,17125.4,17121.25,4.15,-0.0,Monday,1,17091.1492,17142.5254,10,1,0,0,1665979140,True,0,-0.19,0,-0.17,-0.25,GAP_DOWN,1,0,25.400000000001455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.19,0.15,0.66,-1,0.0,0.39,0.16,0.45,0.0,-1,0.0123,1.08,0,0,0,0,0,2022-10-17 09:29:00
